,time,lat,lon,rain,MEV,HMV,vr500,vws1,vws3
0,2.02106E+11,37.85,117.05,21.09,0.7130782,500,0.990000204,11.515802,16.528965
1,2.02106E+11,37.41,116.02,30.97,0.45042623,0,1.350000035,6.7725744,11.560703
2,2.02106E+11,37,115.43,22.11,0.8372015,125,4.549999721,9.162996,10.102312
3,2.02106E+11,38.85,117.4,22.61,2.3626868,1125,0.770000566,12.205207,23.59055
4,2.02106E+11,39.5,116.59,21.13,0.44740555,500,0.87999989,2.5688071,10.901263
5,2.02106E+11,39.51,116.6,26.84,0.2954246,375,1.379999914,3.105484,10.550456
6,2.02106E+11,39.66,116.79,30.43,0.27939124,375,1.170000061,3.660174,10.436
7,2.02106E+11,36.67,114.91,24.63,0.24001389,500,1.260000281,4.0511775,12.021369
8,2.02106E+11,36.56,115.06,29.18,0.32749507,500,1.440000138,4.0655904,11.820267
9,2.02106E+11,36.79,114.97,22.25,0.042455918,1125,1.339999726,3.4476445,11.434972
10,2.02106E+11,36.65,115.11,20.24,0.15718913,3875,1.149999676,3.9241266,11.220717
11,2.02106E+11,38.01,116.99,24.73,0.48851132,3875,1.690000063,2.1706338,9.90784
12,2.02106E+11,37.85,117.3,20.68,0.7498669,3500,1.019999967,2.7399988,9.198896
13,2.02106E+11,37.88,117.33,26.9,0.7488832,3500,1.549999928,2.418051,8.943814
14,2.02106E+11,37.87,117.35,20.47,0.7879634,3500,0.920000079,2.628927,8.352391
15,2.02106E+11,37.89,117.36,23.55,0.7802939,3500,1.629999955,2.3668003,8.449648
16,2.02106E+11,37.89,117.42,23.76,0.9497705,3750,0.709999935,2.398529,8.424371
17,2.02106E+11,38.54,117.62,20.04,0,0,0.109999746,2.3166611,10.591966
18,2.02106E+11,38.47,116.59,21.23,0.4680182,1125,0.650000176,6.8340073,8.274443
19,2.02106E+11,38.08,116.43,20.33,0.23516068,250,0.819999957,6.531101,7.421905
20,2.02106E+11,38.05,116.16,22.14,0.5662629,375,0.599999912,5.8046527,6.598839
21,2.02106E+11,38.44,116.11,22.79,0.59006594,375,1.150000142,6.597323,6.0713425
22,2.02106E+11,38.88,116.71,20.27,1.4220709,3500,1.87999988,7.506919,8.779949
23,2.02106E+11,36.57,114.98,20.86,0.3149107,250,1.41999987,2.458195,7.207779
24,2.02106E+11,36.99,115.46,21.32,0.78237725,125,1.249999972,2.9872286,7.5734577
25,2.02106E+11,36.83,114.86,22.62,0.4219089,125,1.229999936,3.0726125,5.20232
26,2.02106E+11,37.7,116.18,20.04,0.6762277,3500,0.160000447,8.458493,8.721633
27,2.02106E+11,38.2,117.47,20.04,0,0,0.059999944,4.6358137,15.516087
28,2.02106E+11,39.42,117.49,26.9,0.5186645,125,2.379999962,10.663035,12.417208
29,2.02106E+11,39.52,117.71,21.57,0,0,3.509999719,8.110566,14.539501
30,2.02106E+11,37.83,116.63,22.87,0.28752745,3875,0.339999911,5.1477695,9.238837
31,2.02106E+11,37.82,116.58,24.25,0.52923497,3125,0.260000175,5.445227,11.295739
32,2.02106E+11,37.66,115.35,20.72,0.042841716,375,1.840000157,6.13188,12.398286
33,2.02106E+11,37.61,116.27,20.69,0.46058027,3875,0.289999851,5.463188,11.292611
34,2.02106E+11,37.55,116.28,20.4,0.36167974,3875,0.409999833,6.394495,10.063125
35,2.02106E+11,38.58,116.53,25.87,0.2967092,875,0.259999884,3.8541033,6.3975143
36,2.02106E+11,38.58,116.54,20.97,0.33569304,875,0.280000211,3.8522923,6.3586655
37,2.02106E+11,38.54,116.24,32.4,0.34399138,875,0.230000136,2.8911355,6.113642
38,2.02106E+11,38.33,116.72,32.96,0.46492805,1625,0.269999873,5.2839537,4.9890285
39,2.02106E+11,38.19,117.42,23.5,0.11943982,1000,0.23000002,3.587697,4.285906
40,2.02106E+11,38.55,115.76,24.3,0.226438,500,0.850000069,2.7495577,7.5973234
41,2.02106E+11,37.92,116.54,24.54,0.11856794,3875,0.239999776,4.7617183,6.749236
42,2.02106E+11,37.9,116.55,27.9,0.16067283,3875,0.239999776,3.5340705,6.966785
43,2.02106E+11,37.8,116.65,24.53,0.17370472,3875,0.190000297,3.4544573,8.002906
44,2.02106E+11,38.2,117.12,22.25,0.2882489,1625,0.310000061,3.7598288,5.7416244
45,2.02106E+11,38.2,117.12,21.82,0.26090427,1625,0.309999828,3.9346883,5.921801
46,2.02106E+11,39.39,118.6,20.76,0.41041243,3500,1.240000012,3.3621457,9.318047
47,2.02106E+11,39.46,117.63,20.4,0.486617,2875,0.319999934,3.8868449,11.455925
48,2.02106E+11,39.6,116.75,23.83,0.5139655,3000,0.750000065,2.8305817,10.474537
49,2.02106E+11,38.11,116.1,21.29,0.4334864,375,0.92000002,6.148632,8.361601
50,2.02106E+11,37.74,117,20.03,1.10609544,500,0.999999815,5.404741,5.767101
51,2.02106E+11,37.52,116.23,27.43,1.09209526,250,1.499999547,5.767424,8.014515
52,2.02106E+11,37.35,115.93,20.59,1.08617336,250,1.370000071,5.369348,9.573994
53,2.02106E+11,38.22,117.68,26.28,1.3677945,0,1.270000008,4.983485,10.973035
54,2.02106E+11,39.5,117.98,25.08,0.6645345,625,1.969999867,7.891453,10.42322
55,2.02106E+11,39.42,118.08,20.12,0.71158516,500,0.919999962,7.468772,10.96897
56,2.02106E+11,39.4,118.07,27.05,0.70079856,500,3.210000228,7.5902085,11.38171
57,2.02106E+11,39.37,118.11,22.22,0.7276301,500,1.880000113,7.870929,12.181287
58,2.02106E+11,39.33,118.12,22.49,0.6929015,500,2.080000006,7.3499804,11.832257
59,2.02106E+11,39.45,116.87,24.69,1.0419852,0,1.870000036,5.3256054,9.334268
60,2.02106E+11,39.22,116.73,28.89,0.9718028,0,0.810000056,4.7198873,10.253641
61,2.02106E+11,39.45,118.24,21.31,0.41678177,2875,1.240000012,4.7030354,8.383401
62,2.02106E+11,39.5,116.98,21.77,0.51447474,1375,0.650000235,6.1816826,13.341902
63,2.02106E+11,39.34,117.06,29.86,0,0,0.610000105,4.4597783,14.654429
64,2.02106E+11,39.35,117.06,20.63,0,0,0.879999716,4.2517366,14.730741
65,2.02106E+11,37.88,116.27,20.31,1.235014,1625,0.570000673,5.3466296,9.305192
66,2.02106E+11,37.96,116.2,22.37,1.1671424,875,0.600000378,4.7044363,11.3564005
67,2.02106E+11,38.15,117.31,20.94,0.896358,3500,0.55999984,7.3525715,9.535342
68,2.02106E+11,38.1,115.88,36.78,1.25798,1250,0.630000141,4.725699,9.67262
69,2.02106E+11,38.26,115.42,21.37,1.3467498,500,1.359999762,5.2053747,8.971926
70,2.02106E+11,38.1,115.78,20.03,1.110424,875,0.829999917,5.445401,10.3994255
71,2.02106E+11,38.14,115.59,21.36,0.78716876,500,0.919999729,5.6225033,11.49284
72,2.02106E+11,37.71,116.26,20.54,0.18711082,250,0.430000306,5.4416585,10.159964
73,2.02107E+11,37.52,115.53,20.74,0,0,0.460000156,5.7210917,13.315073
74,2.02107E+11,39.37,116.53,20.16,0.22877975,1375,1.169999829,5.044897,5.630639
75,2.02107E+11,39.23,117.94,28.5,1.12592104,875,0.919999147,6.6315017,9.453182
