,time,lat,lon,rain,MEV,HMV,vr500,vws1,vws3,mfc
51,202107122030,38.55,115.87,20.93,1.07460364,2875.0,2.7100001461803913,5.555925,10.078839,6.0499554
52,202107122040,38.63,115.94,34.24,1.17250485,2000.0,2.460000105202198,5.8392324,9.528102,5.7302423
53,202107122150,38.69,115.98,23.7,1.3007829999999998,2000.0,2.570000011473894,6.143743,9.256669,6.518716
54,202107130210,38.72,116.14,20.49,1.3894757,2000.0,2.92999972589314,6.2123895,9.077751,7.0469804
55,202107130240,39.0,116.68,22.22,1.3751283,2250.0,1.7900002421811223,7.0554943,11.671406,5.398813
56,202107130300,39.01,117.51,27.17,1.5936537,0.0,2.2800001315772533,5.6041584,9.346738,2.8897326
57,202107130310,39.19,117.64,26.04,1.5269435,125.0,2.8499995823949575,6.7027187,10.102673,3.84775
58,202107130320,39.42,117.82,27.97,1.01556274,250.0,2.2700000554323196,7.4571958,11.171909,6.404974
59,202107130650,39.45,117.75,23.4,1.0719994,250.0,2.849999815225601,7.702867,10.972947,6.1280384
60,202107131110,38.54,116.81,35.46,1.2154662999999999,375.0,1.9099998753517866,5.207986,10.05726,7.9866548
61,202107131140,38.52,116.9,36.75,1.4654797,375.0,2.060000319033861,6.6597667,10.92504,5.3224134
62,202107131150,38.58,117.08,25.77,1.4431658,375.0,2.539999783039093,7.1299496,10.607845,5.3734508
63,202107131200,39.03,117.22,33.49,1.5626558000000002,375.0,1.8900001887232065,5.874585,8.220255,3.1243784
64,202107131210,39.1,117.37,27.47,1.6510049,750.0,2.0300003234297037,4.5546217,7.089894,2.553665
65,202107131220,38.34,116.73,24.38,1.0217467999999998,375.0,2.290000207722187,5.5230737,10.694991,2.4834306
66,202107141940,38.46,117.66,21.67,1.2354075000000002,750.0,1.1399999493733048,7.5232835,12.437162,5.0773034
67,202107180300,38.06,115.02,21.4,1.3269202000000002,1125.0,3.090000245720148,5.592669,7.559513,1.2231531
68,202107180330,38.13,114.93,20.9,1.2020138,1125.0,1.8399996915832162,5.6383667,8.015658,1.2280706
69,202107202100,36.3,114.96,24.43,1.0293584999999998,500.0,4.339999984949827,10.805461,16.02968,20.515987
70,202107202120,36.39,114.91,20.83,1.1108175,500.0,4.070000257343054,10.408673,16.242714,14.330635
71,202107202130,36.35,115.07,21.35,1.5481887,500.0,4.519999958574772,11.523572,16.907324,16.542625
